Freq[Hz]     dBSPL  Phase[Deg]
31584.5     81.016   -32.636
32043.9     81.003   -32.828
32510.0     80.962   -33.101
32982.8     80.886   -33.386
33462.6     80.768   -33.598
33949.3     80.608   -33.623
34443.1     80.428   -33.368
34944.1     80.253   -32.802
35452.4     80.112   -31.959
35968.0     80.044   -30.964
36491.2     80.055   -30.006
37022.0     80.117   -29.228
37560.5     80.204   -28.711
38106.8     80.287   -28.462
38661.1     80.341   -28.403
39223.4     80.377   -28.422
39793.9     80.396   -28.486
