Freq[Hz]     dBSPL  Phase[Deg]
4832.64     90.775    -4.341
4902.93     90.764    -4.446
4974.24     90.753    -4.550
5046.60     90.742    -4.653
5120.00     90.731    -4.756
5194.47     90.720    -4.857
5270.03     90.710    -4.958
5346.68     90.699    -5.058
5424.45     90.688    -5.157
5503.35     90.677    -5.255
5583.40     90.666    -5.353
5664.61     90.655    -5.450
5747.01     90.644    -5.546
5830.60     90.633    -5.642
5915.41     90.622    -5.736
6001.45     90.611    -5.831
6088.74     90.600    -5.925
6177.30     90.589    -6.018
6267.15     90.578    -6.110
6358.31     90.567    -6.203
6450.80     90.556    -6.294
6544.62     90.546    -6.385
6639.82     90.535    -6.476
6736.40     90.524    -6.566
6834.38     90.513    -6.656
6933.79     90.502    -6.746
7034.64     90.491    -6.835
7136.96     90.480    -6.924
7240.77     90.469    -7.012
7346.09     90.458    -7.100
7452.94     90.447    -7.188
7561.35     90.436    -7.275
7671.33     90.425    -7.363
7782.91     90.414    -7.450
7896.12     90.403    -7.536
8010.97     90.393    -7.623
8127.49     90.382    -7.709
8245.71     90.371    -7.795
8365.65     90.360    -7.881
8487.33     90.349    -7.967
8610.78     90.338    -8.052
8736.03     90.327    -8.138
8863.09     90.316    -8.223
8992.01     90.305    -8.308
9122.80     90.294    -8.393
9255.50     90.283    -8.478
9390.12     90.272    -8.563
9526.70     90.261    -8.648
9665.27     90.250    -8.733
9805.86     90.239    -8.817
9948.49     90.229    -8.902
10093.2     90.218    -8.986
10240.0     90.207    -9.070
10388.9     90.196    -9.154
10540.1     90.185    -9.238
10693.4     90.174    -9.322
10848.9     90.163    -9.406
11006.7     90.152    -9.489
11166.8     90.141    -9.573
11329.2     90.130    -9.656
11494.0     90.119    -9.739
11661.2     90.108    -9.822
11830.8     90.097    -9.905
12002.9     90.086    -9.987
12177.5     90.076   -10.069
12354.6     90.065   -10.150
12534.3     90.054   -10.231
12716.6     90.043   -10.311
12901.6     90.032   -10.391
13089.2     90.021   -10.470
13279.6     90.010   -10.548
13472.8     89.999   -10.625
13668.8     89.988   -10.701
13867.6     89.977   -10.776
14069.3     89.966   -10.849
14273.9     89.955   -10.920
14481.5     89.944   -10.989
14692.2     89.933   -11.056
14905.9     89.922   -11.120
15122.7     89.912   -11.180
15342.7     89.901   -11.236
15565.8     89.890   -11.288
15792.2     89.879   -11.333
16021.9     89.868   -11.372
16255.0     89.857   -11.401
16491.4     89.846   -11.418
16731.3     89.835   -11.418
16974.7     89.826   -11.395
17221.6     89.818   -11.346
17472.1     89.816   -11.272
17726.2     89.822   -11.182
17984.0     89.837   -11.098
18245.6     89.860   -11.038
18511.0     89.888   -11.016
18780.2     89.917   -11.031
19053.4     89.945   -11.066
19330.5     89.974   -11.106
19611.7     90.006   -11.148
19897.0     90.043   -11.196
20186.4     90.087   -11.266
20480.0     90.137   -11.374
20777.9     90.190   -11.525
21080.1     90.246   -11.715
21386.7     90.305   -11.943
21697.8     90.367   -12.212
22013.4     90.437   -12.540
22333.6     90.512   -12.952
22658.4     90.588   -13.472
22988.0     90.658   -14.111
23322.4     90.715   -14.845
23661.6     90.755   -15.639
24005.8     90.777   -16.454
24355.0     90.786   -17.254
24709.2     90.789   -18.030
25068.6     90.789   -18.794
25433.2     90.789   -19.565
25803.2     90.789   -20.365
26178.5     90.788   -21.215
26559.3     90.781   -22.135
26945.6     90.763   -23.132
27337.5     90.726   -24.187
27735.2     90.666   -25.268
28138.6     90.579   -26.323
28547.9     90.471   -27.303
28963.1     90.348   -28.187
29384.4     90.214   -28.973
29811.8     90.074   -29.673
30245.4     89.923   -30.280
30685.3     89.764   -30.770
31131.7     89.602   -31.132
31584.5     89.437   -31.354
32043.9     89.282   -31.436
32510.0     89.144   -31.425
32982.8     89.019   -31.361
33462.6     88.906   -31.256
33949.3     88.805   -31.126
34443.1     88.714   -30.981
34944.1     88.632   -30.821
35452.4     88.561   -30.657
35968.0     88.500   -30.505
36491.2     88.448   -30.370
37022.0     88.404   -30.257
37560.5     88.369   -30.182
38106.8     88.344   -30.148
38661.1     88.327   -30.160
39223.4     88.317   -30.190
39793.9     88.311   -30.232
